Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,148.690002,149.759995,148.570007,149.419998,147.435165,149600
2023-07-05,148.809998,148.809998,147.850006,148.160004,146.191910,283900
2023-07-06,146.539993,146.539993,144.470001,146.059998,144.119797,416700
2023-07-07,146.050003,148.720001,146.020004,147.410004,145.451874,216100
2023-07-10,147.259995,149.690002,147.229996,149.690002,147.701569,399600
2023-07-11,149.970001,152.000000,149.869995,151.710007,149.694763,205000
2023-07-12,153.869995,153.869995,152.509995,152.860001,150.829483,276600
2023-07-13,153.639999,154.759995,153.199997,154.580002,152.526627,399400
2023-07-14,154.720001,154.759995,152.539993,153.119995,151.086014,245000
2023-07-17,153.089996,155.080002,152.630005,154.550003,152.497040,355400
2023-07-18,154.779999,156.460007,154.779999,156.240005,154.164597,339800
2023-07-19,156.820007,157.509995,156.380005,156.880005,154.796066,288700
2023-07-20,156.649994,156.649994,154.820007,155.100006,153.039719,280600
2023-07-21,156.139999,156.210007,154.679993,154.880005,152.822632,253700
2023-07-24,154.919998,155.839996,154.320007,154.940002,152.881851,254900
2023-07-25,154.690002,155.910004,154.690002,155.050003,152.990387,206900
2023-07-26,154.860001,156.289993,154.850006,155.800003,153.730423,187000
2023-07-27,157.160004,157.229996,153.380005,153.779999,151.737244,256900
2023-07-28,155.580002,156.149994,155.330002,156.080002,154.006699,163100
2023-07-31,156.550003,157.669998,156.550003,157.630005,155.536118,220900
2023-08-01,156.750000,157.080002,155.669998,156.889999,154.805939,230500
2023-08-02,155.139999,155.259995,153.399994,154.160004,152.112213,367400
2023-08-03,153.460007,154.479996,152.809998,153.720001,151.678055,188600
2023-08-04,154.229996,155.190002,153.259995,153.490005,151.451111,236900
2023-08-07,153.919998,154.240005,152.710007,153.949997,151.904999,158700
2023-08-08,152.139999,152.699997,150.860001,152.600006,150.572922,189500
2023-08-09,152.589996,152.600006,150.759995,151.130005,149.122467,215600
2023-08-10,151.979996,153.229996,150.259995,150.850006,148.846176,254600
2023-08-11,150.169998,151.309998,150.100006,150.729996,148.727768,198400
2023-08-14,150.009995,150.970001,149.320007,150.949997,148.944839,231300
2023-08-15,150.020004,150.070007,148.899994,149.020004,147.040466,197700
2023-08-16,148.759995,149.470001,147.399994,147.399994,145.441986,223100
2023-08-17,147.979996,148.089996,145.589996,145.600006,143.665909,857100
2023-08-18,144.440002,146.729996,144.199997,146.330002,144.386215,334600
2023-08-21,146.690002,147.050003,145.529999,146.619995,144.672363,215000
2023-08-22,147.039993,147.339996,145.830002,146.020004,144.080322,358700
2023-08-23,146.300003,147.990005,145.899994,147.880005,145.915634,186400
2023-08-24,148.070007,148.300003,145.759995,145.830002,143.892853,248900
2023-08-25,146.250000,147.149994,144.639999,146.559998,144.613159,226600
2023-08-28,147.210007,148.330002,147.210007,147.630005,145.668945,232600
2023-08-29,147.509995,150.100006,147.139999,150.000000,148.007477,214900
2023-08-30,149.880005,151.300003,149.740005,150.850006,148.846176,261000
2023-08-31,151.210007,152.009995,151.100006,151.119995,149.112595,326900
2023-09-01,152.520004,153.300003,152.119995,152.630005,150.602539,425900
2023-09-05,152.089996,152.089996,150.410004,150.419998,148.421890,334600
2023-09-06,150.440002,151.309998,149.169998,149.880005,147.889053,309500
2023-09-07,148.850006,149.169998,147.970001,148.970001,146.991150,318400
2023-09-08,149.190002,149.389999,148.529999,148.830002,146.852997,196900
2023-09-11,149.850006,150.139999,149.300003,149.500000,147.514099,227200
2023-09-12,149.229996,150.220001,149.149994,149.190002,147.208237,125800
2023-09-13,149.190002,149.399994,147.759995,148.119995,146.152420,175100
2023-09-14,149.160004,150.029999,148.710007,149.589996,147.602921,166000
2023-09-15,149.289993,149.289993,147.619995,148.229996,146.260956,293800
2023-09-18,148.089996,148.119995,147.330002,147.419998,145.461746,177500
2023-09-19,147.490005,147.910004,146.279999,147.000000,145.047333,198100
2023-09-20,147.410004,148.240005,145.750000,145.750000,143.813919,229500
